species,lambda0_ang,sigma_lambda0_ang,q_cm-1,sigma_q_cm-1,lambda0_source,join_flag,nist_wavelength_ang,lower_level,upper_level,Aki_s-1,fik,q_cm1,line_id,lambda0_unc_ang
Ni V,1266.403,0.004,3127,,Lee2025_2410.01849,OK,1266.407,3d5.(4G).4s 5G J=4,3d5.(4G).4p 5H* J=5,10200000000.0,0.273,3127,line_0055,0.004
Fe V,1266.5218,0.004,3653,,Hu2021_table,OK,1266.524,3d3.(4P).4s 5P J=1,3d3.(2D2).4p 3P* J=2,140000000.0,0.0111,3653,line_0056,0.004
Ni V,1268.182,0.002,1979,,Lee2025_2410.01849,OK,1268.181,3d5.(2G1).4s 3G J=5,3d5.(2G1).4p 3H* J=5,3750000000.0,0.0823,1979,line_0057,0.002
Ni V,1268.883,0.002,1935,,Lee2025_2410.01849,OK,1268.883,3d5.(2G1).4s 3G J=4,3d5.(2G1).4p 3H* J=5,7440000000.0,0.199,1935,line_0058,0.002
Ni V,1269.384,0.005,4191,,Lee2025_2410.01849,OK,1269.383,3d5.(2H).4s 3H J=5,3d5.(2H).4p 3I* J=6,5140000000.0,0.113,4191,line_0059,0.005
Fe V,1269.7855,0.004,3697,,Hu2021_table,OK,1269.784,3d3.(2G).4s 1G J=4,3d3.(2H).4p 3G* J=5,190000000.0,0.0051,3697,line_0060,0.004
Ni V,1270.205,0.002,3220,,Lee2025_2410.01849,OK,1270.205,3d5.(2G2).4s 3G J=3,3d5.(2G2).4p 3F* J=2,3640000000.0,0.126,3220,line_0061,0.002
Fe V,1270.4713,0.004,3444,,Hu2021_table,OK,1270.47,3d3.(4P).4s 5P J=2,3d3.(2D2).4p 3P* J=2,220000000.0,0.0107,3444,line_0062,0.004
Ni V,1273.817,0.004,4084,,Lee2025_2410.01849,OK,1273.818,3d5.(4P).4s 5P J=2,3d5.(4P).4p 5P* J=3,3320000000.0,0.161,4084,line_0063,0.004
Ni V,1274.263,0.002,2380,,Lee2025_2410.01849,OK,1274.261,3d5.(4F).4s 5F J=2,3d5.(4F).4p 5G* J=3,3400000000.0,0.166,2380,line_0064,0.002
Ni V,1276.431,0.002,3368,,Lee2025_2410.01849,OK,1276.431,3d5.(4D).4s 5D J=3,3d5.(4D).4p 5F* J=4,7340000000.0,0.256,3368,line_0065,0.002
Ni V,1276.632,0.005,4042,,Lee2025_2410.01849,OK,1276.632,3d5.(2G1).4s 3G J=4,3d5.(2G1).4p 3H* J=4,1940000000.0,0.0528,4042,line_0066,0.005
Ni V,1278.872,0.004,2862,,Lee2025_2410.01849,OK,1278.872,3d5.(2G2).4s 3G J=5,3d5.(2G2).4p 3F* J=4,2620000000.0,0.0584,2862,line_0067,0.004
Fe V,1279.5917,0.004,2748,,Hu2021_table,OK,1279.591,3d3.(4P).4s 5P J=3,3d3.(2D2).4p 3P* J=2,300000000.0,0.0103,2748,line_0068,0.004
Fe V,1280.4678,0.004,2373,,Hu2021_table,OK,1280.471,3d3.(2G).4s 3G J=5,3d3.(2D2).4p 3F* J=4,1200000000.0,0.026,2373,line_0069,0.004
Fe V,1280.648,0.004,3705,,Hu2021_table,OK,1280.65,3d3.(4P).4s 3P J=1,3d3.(2D2).4p 3P* J=0,140000000.0,0.011,3705,line_0070,0.004
Fe V,1281.3672,0.004,3640,,Hu2021_table,OK,1281.367,3d3.(4P).4s 3P J=0,3d3.(2D2).4p 3P* J=1,390000000.0,0.097,3640,line_0071,0.004
Fe V,1281.6471,0.004,3128,,Hu2021_table,OK,1281.652,3d3.(2G).4s 3G J=3,3d3.(4P).4p 3D* J=2,190000000.0,0.0067,3128,line_0072,0.004
Fe V,1282.0587,0.004,3055,,Hu2021_table,OK,1282.058,3d3.(2G).4s 3G J=4,3d3.(2P).4p 3F* J=3,380000000.0,0.0104,3055,line_0073,0.004
Ni V,1283.186,0.005,2667,,Lee2025_2410.01849,OK,1283.185,3d5.(2G2).4s 1G J=4,3d5.(2G2).4p 3G* J=5,2840000000.0,0.0778,2667,line_0074,0.005
