line_id,species,lambda_obs,sigma_lambda_obs,chi2,n_components
Ni V_1287.8070,Ni V,1287.9458666056082,0.0020732627862287962,1022.3724395891502,1
Fe V_1288.1681,Fe V,1287.9115123918646,0.004398911843947488,691.5424315635987,1
Fe V_1288.7231,Fe V,1288.1591936641419,0.009027281681957931,968.5548583951391,1
Fe V_1289.5369,Fe V,1289.6484282145118,0.0010605606231137569,6360.34874690159,1
Ni V_1290.3970,Ni V,1290.1486472917838,0.0009290300869897165,18317.74032732603,1
Fe V_1291.1881,Fe V,1291.6836507758758,0.0006749813752495777,125081.83832537764,1
Fe V_1293.1270,Fe V,1293.2709623764956,0.0007364476717338519,4847.536454600773,1
Fe V_1293.3059,Fe V,1293.265340205814,0.0006334818635316083,4981.989713672036,1
Fe V_1297.5453,Fe V,1297.6215073124094,0.0008892508254304294,2177.1627417118484,1
Ni V_1298.7320,Ni V,1298.4752312793667,0.0023283896207865647,2483.0293289738265,1
Fe V_1300.6095,Fe V,1300.1144157119911,0.0018367193096420346,24259.036664036234,1
Fe V_1300.8450,Fe V,1301.3170960011487,0.002285907337732773,9610.526158300001,1
Ni V_1300.9810,Ni V,1301.3903550697712,0.002214840933434387,3994.0932091841987,1
Fe V_1303.0834,Fe V,1303.3294940230596,0.0021999236677919054,2027.4896575657726,1
Fe V_1303.4853,Fe V,1303.279412056729,0.0017190578164436839,2562.6288395978554,1
Fe V_1304.8140,Fe V,1304.6705500064904,0.00021298623365658358,663902.9224957594,1
Fe V_1305.9674,Fe V,1306.1815956912021,0.0018142316427220855,3913.877152319842,1
Fe V_1306.0803,Fe V,1306.1809203234286,0.0017977305099969607,3916.866649017188,1
Fe V_1307.2190,Fe V,1307.6759317483877,0.005181699735251732,2804.187378926567,1
Fe V_1307.4242,Fe V,1307.6811839601637,0.004438204620987256,2674.764404392895,1
Ni V_1307.5990,Ni V,1307.6815277554838,0.00441915096082697,2758.2342831833225,1
Fe V_1310.7510,Fe V,1311.100327717445,0.0005513765687422182,517536.39273540815,1
Fe V_1311.2378,Fe V,1310.8295667280602,0.0027730137148204693,627493.9598290189,1
Ni V_1311.5570,Ni V,1311.1855220167288,0.0003570886880398015,551883.7509027065,1
Fe V_1311.8290,Fe V,1311.2330734448801,2.334119463136079e-06,925002.7235308144,1
Ni V_1313.3060,Ni V,1312.817731113347,0.0006414721096709092,111063.41341385178,1
Fe V_1313.5851,Fe V,1314.040286342416,0.0008246849806998688,50506.075057720875,1
Fe V_1314.5256,Fe V,1314.9407203258368,0.005923739669512145,5107.77731210529,1
Ni V_1315.6680,Ni V,1315.720151701429,0.0018751935733291058,476.46263649420024,1
Ni V_1317.4450,Ni V,1317.0702874889196,0.00048026144029645506,407272.277767981,1
