species,wavelength_vac_ang,wavelength_unc_ang,lower_level,upper_level,Aki_s-1,fik,nist_source,q_cm-1,q_source,wl_match_ang,f_q,gamma_s-1
Ni V,1202.4190,0.0050,3d5.(4G).4s 5G J=4,3d5.(4G).4p 3F* J=3,3.86e+08,9.31e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",2890,Webb_et_al_2025,1202.427,,
Ni V,1203.2780,0.0220,3d5.(2D2).4s 3D J=3,3d5.(2D2).4p 3P* J=2,2.82e+09,8.75e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",2455,Webb_et_al_2025,1203.265,,
Ni V,1203.2780,0.0220,3d5.(4F).4s 5F J=4,3d5.(4F).4p 5D* J=3,1.21e+09,2.92e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",2455,Webb_et_al_2025,1203.265,,
Ni V,1203.3070,0.0130,3d5.(4F).4s 5F J=2,3d5.(4F).4p 5D* J=2,1.95e+09,8.47e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",2455,Webb_et_al_2025,1203.265,,
Ni V,1203.3540,0.0130,3d5.(4F).4s 5F J=3,3d5.(2H).4p 3G* J=3,1.40e+09,4.34e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1203.7730,0.0020,3d5.(2F2).4s 1F J=3,3d5.(2F2).4p 1F* J=3,7.56e+09,2.35e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1203.8640,0.0050,3d5.(4F).4s 5F J=2,3d5.(4F).4p 5D* J=1,7.14e+08,3.10e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1204.7250,0.0020,3d5.(4F).4s 3F J=4,3d5.(2G2).4p 1H* J=5,5.51e+08,1.33e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",2833,Webb_et_al_2025,1204.727,,
Ni V,1205.3060,0.0020,3d5.(2H).4s 3H J=4,3d5.(2H).4p 3H* J=4,4.01e+09,9.72e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1205.4450,0.0020,3d5.(4F).4s 5F J=3,3d5.(4F).4p 5D* J=3,2.47e+09,7.69e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1205.5510,0.0020,3d5.(2H).4s 3H J=4,3d5.(2G2).4p 3H* J=5,2.79e+09,6.76e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1205.7960,0.0100,3d5.(2G2).4s 3G J=3,3d5.(2G2).4p 3G* J=4,1.12e+08,3.51e-03,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1205.7960,0.0100,3d5.(4G).4s 5G J=3,3d5.(4G).4p 3F* J=2,2.36e+08,7.33e-03,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1205.9510,0.0050,3d5.(2G2).4s 3G J=3,3d5.(2G2).4p 3G* J=3,2.39e+09,7.43e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1207.1150,0.0040,3d3.(2G).4s 3G J=5,3d3.(2H).4p 1I* J=6,,,NIST_ASD_v5.12;L3625,2538,Hu_et_al_2021,1207.1183,8.3e-05,4.98E+09
Ni V,1207.3380,0.0020,3d5.(2H).4s 3H J=5,3d5.(2G2).4p 3H* J=5,5.26e+09,1.04e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1207.3880,0.0220,3d5.(2D3).4s 3D J=3,3d5.(2G2).4p 3H* J=4,5.40e+08,1.69e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1207.3880,0.0220,3d5.(2G2).4s 1G J=4,3d5.(2F2).4p 3D* J=3,1.57e+09,3.80e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1207.4460,0.0050,3d5.(4F).4s 5F J=2,3d5.(4F).4p 5D* J=3,1.02e+09,4.45e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1207.6300,0.0130,3d5.(4F).4s 5F J=5,3d5.(2H).4p 3G* J=4,2.65e+08,5.26e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1207.9840,0.0220,3d5.(4D).4s 5D J=4,3d5.(4D).4p 3D* J=3,3.07e+08,7.46e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1207.9840,0.0220,3d5.(2D3).4s 3D J=3,3d5.(2D3).4p 1F* J=3,1.41e+08,4.39e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1208.2050,0.0130,3d5.(2F2).4s 3F J=3,3d5.(2F2).4p 3D* J=3,3.38e+08,1.06e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1208.2570,0.0040,3d3.(2G).4s 3G J=5,3d3.(2H).4p 3G* J=5,5.8e+08,1.16e-02,NIST_ASD_v5.12;L3625;T6653c93,2890,Hu_et_al_2021,1208.2606,1.2e-02,8.20E+09
Ni V,1208.2610,0.0250,3d5.(4F).4s 5F J=4,3d5.(2H).4p 3G* J=4,1.24e+08,3.02e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1208.9030,0.0050,3d5.(2G2).4s 3G J=4,3d5.(2G2).4p 3G* J=4,3.09e+09,7.51e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1208.9610,0.0050,3d5.(4F).4s 3F J=2,3d5.(2F2).4p 3F* J=2,1.50e+09,6.55e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1209.0940,0.0050,3d5.(2F2).4s 3F J=2,3d5.(2F2).4p 3D* J=3,2.18e+09,9.57e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1209.2200,0.0050,3d5.(4F).4s 3F J=4,3d5.(2F2).4p 3F* J=3,1.10e+09,2.68e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1209.4260,0.0220,3d5.(2F1).4s 3F J=3,3d5.(2G2).4p 1G* J=4,1.18e+08,3.71e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1209.6020,0.0050,3d5.(2F2).4s 3F J=3,3d5.(2F2).4p 3D* J=2,3.84e+09,1.20e-01,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1209.7670,0.0100,3d5.(4F).4s 5F J=5,3d5.(4F).4p 5D* J=4,3.21e+09,6.41e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1209.7670,0.0100,3d5.(4F).4s 3F J=3,3d5.(2F2).4p 3F* J=3,2.09e+09,6.54e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1210.3990,0.0020,3d5.(4F).4s 5F J=4,3d5.(4F).4p 5D* J=4,4.82e+09,1.17e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1210.5050,0.0220,3d5.(4F).4s 5F J=3,3d5.(2H).4p 3G* J=4,6.53e+08,2.05e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1210.5050,0.0220,3d5.(4F).4s 3F J=3,3d5.(2F2).4p 3F* J=2,1.53e+09,4.80e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1210.5050,0.0220,3d5.(2F2).4s 3F J=2,3d5.(2F2).4p 3D* J=2,7.20e+08,3.16e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1210.5050,0.0220,3d5.(4D).4s 5D J=1,3d5.(4D).4p 5P* J=2,1.42e+09,1.04e-01,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1210.5050,0.0220,3d5.(2D1).4s 3D J=3,3d5.(2D1).4p 3D* J=2,1.22e+09,3.81e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1210.6340,0.0220,3d5.(4F).4s 5F J=4,3d5.(2H).4p 3G* J=5,4.47e+08,1.09e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1210.7400,0.0020,3d5.(2I).4s 3I J=5,3d5.(2F1).4p 1G* J=4,6.95e+08,1.39e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1210.7950,0.0050,3d5.(2F2).4s 3F J=4,3d5.(2F2).4p 3D* J=3,1.34e+09,3.27e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1211.4440,0.0100,3d5.(2D1).4s 3D J=2,3d5.(2D1).4p 3D* J=2,2.28e+09,1.00e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1211.9950,0.0050,3d5.(2F2).4s 3F J=3,3d5.(2F2).4p 3G* J=3,7.35e+08,2.32e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1212.4710,0.0050,3d5.(2G2).4s 3G J=4,3d5.(2G2).4p 3G* J=5,3.61e+08,8.83e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1212.5890,0.0220,3d5.(4F).4s 5F J=3,3d5.(4F).4p 5D* J=4,1.21e+09,3.81e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1212.5890,0.0220,3d5.(2D1).4s 3D J=1,3d5.(2D1).4p 3D* J=2,2.21e+09,1.63e-01,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1212.7780,0.0020,3d5.(4D).4s 5D J=2,3d5.(4D).4p 5P* J=2,2.47e+09,1.09e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1212.8860,0.0050,3d5.(2F2).4s 3F J=2,3d5.(2F2).4p 3G* J=3,1.20e+09,5.27e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1213.2340,0.0050,3d5.(2F1).4s 1F J=3,3d5.(4F).4p 3D* J=3,5.63e+08,1.77e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1213.5860,0.0130,3d5.(4F).4s 5F J=1,3d5.(4F).4p 5D* J=2,5.55e+08,4.10e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1213.8560,0.0050,3d5.(4D).4s 5D J=2,3d5.(4D).4p 3D* J=3,1.22e+09,5.38e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1213.9400,0.0050,3d5.(4D).4s 5D J=3,3d5.(4D).4p 3D* J=3,2.48e+09,7.85e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1214.1610,0.0100,3d5.(4F).4s 5F J=1,3d5.(4F).4p 5D* J=1,2.00e+09,1.48e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1214.1610,0.0100,3d5.(2G2).4s 3G J=5,3d5.(2G2).4p 3G* J=4,4.80e+08,9.63e-03,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1214.4070,0.0050,3d5.(4F).4s 5F J=1,3d5.(4F).4p 5D* J=0,1.06e+09,7.81e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1214.5890,0.0020,3d5.(2F2).4s 3F J=4,3d5.(2F2).4p 3G* J=3,2.26e+09,5.56e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Fe V,1214.7110,0.0040,3d3.(4P).4s 3P J=2,3d3.(2P).4p 1P* J=1,2.0e+08,9.e-03,NIST_ASD_v5.12;L3625;T6653c93,3027,Hu_et_al_2021,1214.7130,9.0e-03,6.80E+09
Ni V,1215.0710,0.0100,3d5.(2F2).4s 3F J=2,3d5.(2F2).4p 3D* J=1,1.89e+09,8.38e-02,"NIST_ASD_v5.12;L21210,L3912,c153;T6653c93",,,,,
Ni V,1215.0710,0.0100,3d5.(4D).4s 5D J=0,3d5.(4P).4p 3D* J=1,6.66e+08,1.47e-01,"NIST_ASD_v5.12;L21210,L3912,c153;T6653c93",,,,,
Ni V,1215.2760,0.0020,3d5.(2G2).4s 3G J=5,3d5.(2G2).4p 3H* J=6,3.70e+09,7.46e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1216.1490,0.0050,3d5.(4F).4s 3F J=4,3d5.(2F2).4p 1G* J=4,2.75e+09,6.79e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1216.5370,0.0050,3d5.(2D2).4s 3D J=2,3d5.(2D2).4p 1F* J=3,3.09e+08,1.37e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1217.0610,0.0050,3d5.(4D).4s 5D J=1,3d5.(4P).4p 3D* J=1,7.50e+08,5.54e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1217.1050,0.0020,3d5.(4P).4s 3P J=2,3d5.(4P).4p 3S* J=1,2.62e+09,1.16e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1217.5010,0.0050,3d5.(2H).4s 3H J=6,3d5.(2G2).4p 3H* J=5,5.34e+08,9.12e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1217.5700,0.0100,3d5.(2D2).4s 3D J=3,3d5.(2D2).4p 1F* J=3,8.19e+08,2.61e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1217.5700,0.0100,3d5.(4G).4s 5G J=5,3d5.(4P).4p 5D* J=4,1.09e+09,2.21e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1217.7560,0.0020,3d5.(2G2).4s 3G J=5,3d5.(2G2).4p 3G* J=5,7.13e+09,1.44e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Fe V,1217.9930,0.0040,3d3.(4P).4s 3P J=0,3d3.(4P).4p 3S* J=1,2.7e+08,5.9e-02,NIST_ASD_v5.12;L3625;T6653c93,3595,Hu_et_al_2021,1217.9973,5.9e-02,8.47E+09
Ni V,1218.0600,0.0050,3d5.(4G).4s 5G J=4,3d5.(4P).4p 5D* J=4,3.07e+08,7.58e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1218.7250,0.0050,3d5.(2D3).4s 3D J=3,3d5.(4F).4p 5F* J=4,3.85e+08,1.22e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1219.8860,0.0050,3d5.(2D3).4s 1D J=2,3d5.(2F1).4p 1F* J=3,3.68e+08,1.64e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1220.3170,0.0050,3d5.(4F).4s 3F J=2,3d5.(2G2).4p 3G* J=3,9.38e+08,4.18e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1220.8360,0.0130,3d5.(2D3).4s 1D J=2,3d5.(2G2).4p 3F* J=2,3.04e+08,1.36e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1220.8790,0.0130,3d5.(4F).4s 5F J=5,3d5.(2H).4p 3H* J=5,4.03e+08,8.18e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1221.1130,0.0050,3d5.(4F).4s 3F J=4,3d5.(2G2).4p 3G* J=4,9.72e+08,2.42e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1221.6920,0.0100,3d5.(4F).4s 3F J=3,3d5.(2G2).4p 3G* J=4,1.38e+09,4.39e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1221.8710,0.0050,3d5.(4F).4s 3F J=3,3d5.(2G2).4p 3G* J=3,4.50e+08,1.44e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1222.1900,0.0050,3d5.(4P).4s 3P J=1,3d5.(4P).4p 3S* J=1,8.34e+08,6.24e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1222.7890,0.0050,3d5.(2F1).4s 3F J=2,3d5.(4F).4p 5D* J=2,1.23e+09,5.51e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1223.2050,0.0050,3d5.(4F).4s 5F J=2,3d5.(2F1).4p 3F* J=2,9.75e+08,4.38e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1223.3910,0.0130,3d5.(2F1).4s 3F J=2,3d5.(4F).4p 5D* J=1,5.01e+08,2.25e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1223.4450,0.0050,3d5.(2D1).4s 3D J=3,3d5.(2D1).4p 3F* J=4,1.05e+10,3.37e-01,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1223.6860,0.0130,3d5.(2D1).4s 3D J=2,3d5.(2D1).4p 3D* J=1,9.33e+08,4.19e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1224.3370,0.0050,3d5.(4D).4s 5D J=0,3d5.(4D).4p 5P* J=1,7.32e+08,1.65e-01,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1224.4170,0.0040,3d3.(2D2).4s 1D J=2,3d3.(2F).4p 3F* J=2,3.5e+07,1.6e-03,NIST_ASD_v5.12;L3625;T6653c93,1613,Hu_et_al_2021,1224.4142,1.6e-03,4.31E+09
Ni V,1224.5630,0.0020,3d5.(2D3).4s 3D J=3,3d5.(2F1).4p 3F* J=4,2.30e+09,7.41e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1224.7580,0.0020,3d5.(4F).4s 3F J=4,3d5.(2G2).4p 3G* J=5,1.70e+09,4.26e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1224.8770,0.0050,3d5.(2D1).4s 3D J=1,3d5.(2D1).4p 3D* J=1,2.34e+09,1.76e-01,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1224.9470,0.0020,3d5.(2G2).4s 3G J=3,3d5.(2H).4p 3H* J=4,3.59e+09,1.15e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1225.1130,0.0020,3d5.(4D).4s 5D J=1,3d5.(4D).4p 5D* J=0,8.87e+08,6.65e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1226.2740,0.0020,3d5.(4D).4s 5D J=1,3d5.(4D).4p 5P* J=1,6.12e+08,4.60e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1227.0600,0.0050,3d5.(2F1).4s 3F J=2,3d5.(4F).4p 5D* J=3,6.23e+08,2.81e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1227.1880,0.0020,3d5.(2D1).4s 1D J=2,3d5.(2D1).4p 1F* J=3,7.77e+09,3.52e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1227.4830,0.0130,3d5.(2F1).4s 3F J=4,3d5.(2H).4p 3G* J=4,2.07e+08,5.20e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Fe V,1228.1260,0.0040,3d3.(4P).4s 5P J=1,3d3.(2D2).4p 3F* J=2,,,NIST_ASD_v5.12;L3625,2799,Hu_et_al_2021,1228.1263,5.9e-05,5.92E+09
Ni V,1228.1670,0.0020,3d5.(2G2).4s 3G J=4,3d5.(2H).4p 3H* J=4,6.85e+08,1.72e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1228.4320,0.0020,3d5.(2G2).4s 3G J=4,3d5.(2G2).4p 3H* J=5,3.29e+09,8.26e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1229.3970,0.0150,3d5.(2F2).4s 1F J=3,3d5.(2H).4p 1G* J=4,4.13e+09,1.34e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",3317,Webb_et_al_2025,1229.402,,
Ni V,1229.3970,0.0150,3d5.(2G1).4s 3G J=5,3d5.(2G1).4p 3G* J=5,8.27e+09,1.70e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",3317,Webb_et_al_2025,1229.402,,
Ni V,1229.6840,0.0050,3d5.(2F1).4s 3F J=4,3d5.(4F).4p 5D* J=4,4.71e+08,1.19e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1230.0700,0.0040,3d5.(2G1).4s 3G J=4,3d5.(2G1).4p 3G* J=5,4.68e+09,1.18e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1230.4390,0.0040,3d5.(2D2).4s 1D J=2,3d5.(2D2).4p 1D* J=2,5.45e+09,2.48e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1230.7350,0.0050,3d5.(4D).4s 5D J=2,3d5.(4P).4p 3D* J=2,4.12e+08,1.87e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1230.8250,0.0050,3d5.(4D).4s 5D J=3,3d5.(4P).4p 3D* J=2,6.00e+08,1.95e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1230.8850,0.0040,3d5.(2H).4s 3H J=5,3d5.(2H).4p 1I* J=6,3.52e+09,7.29e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1231.0340,0.0130,3d5.(2G2).4s 3G J=3,3d5.(4F).4p 3F* J=3,7.42e+08,2.41e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1231.0890,0.0040,3d5.(4D).4s 5D J=4,3d5.(4P).4p 3D* J=3,1.54e+09,3.89e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",2161,Webb_et_al_2025,1231.094,,
Ni V,1231.8810,0.0020,3d5.(4D).4s 3D J=3,3d5.(4D).4p 3P* J=2,3.23e+09,1.05e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1232.3460,0.0050,3d5.(4G).4s 5G J=2,3d5.(4P).4p 5D* J=3,1.18e+08,5.35e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1232.5210,0.0100,3d5.(4G).4s 5G J=4,3d5.(4P).4p 5D* J=3,2.79e+09,7.06e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1232.5210,0.0100,3d5.(4G).4s 5G J=3,3d5.(4P).4p 5D* J=3,1.02e+09,3.33e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1232.8080,0.0020,3d5.(2H).4s 1H J=5,3d5.(2H).4p 1H* J=5,9.30e+09,1.93e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1232.9710,0.0040,3d5.(2D2).4s 3D J=3,3d5.(2D2).4p 3F* J=4,9.90e+09,3.23e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1233.1240,0.0040,3d5.(4F).4s 5F J=3,3d5.(2G2).4p 3H* J=4,2.77e+08,9.01e-03,"NIST_ASD_v5.12;L21210,L3912;T6653c93",3272,Webb_et_al_2025,1233.115,,
Ni V,1233.1240,0.0040,3d5.(4G).4s 5G J=2,3d5.(4G).4p 5F* J=2,8.55e+08,3.90e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",3272,Webb_et_al_2025,1233.115,,
Ni V,1233.2730,0.0130,3d5.(4F).4s 5F J=5,3d5.(4F).4p 5F* J=5,7.03e+09,1.46e-01,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1233.3290,0.0130,3d5.(4G).4s 5G J=3,3d5.(4G).4p 5F* J=2,2.62e+09,8.55e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",1995,Webb_et_al_2025,1233.324,,
Ni V,1233.5010,0.0040,3d5.(2D2).4s 3D J=2,3d5.(2D2).4p 3D* J=3,4.86e+09,2.22e-01,"NIST_ASD_v5.12;L21210,L3912,c153;T6653c93",,,,,
Ni V,1233.6010,0.0070,3d5.(2G2).4s 3G J=5,3d5.(2H).4p 3H* J=4,2.61e+08,5.42e-03,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1233.6010,0.0070,3d5.(2F1).4s 3F J=3,3d5.(4F).4p 5D* J=2,5.80e+08,1.89e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1233.8550,0.0250,3d5.(4F).4s 5F J=1,3d5.(2F1).4p 3F* J=2,8.60e+08,6.54e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1233.8890,0.0220,3d5.(4F).4s 5F J=4,3d5.(4F).4p 5F* J=5,4.59e+09,1.16e-01,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1234.1720,0.0040,3d5.(2G1).4s 3G J=4,3d5.(2G1).4p 3G* J=4,7.89e+09,2.00e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",,,,,
Ni V,1234.2630,0.0130,3d5.(2G2).4s 3G J=4,3d5.(4F).4p 3F* J=3,3.52e+08,8.93e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1234.3980,0.0020,3d5.(4G).4s 5G J=2,3d5.(4G).4p 5F* J=1,2.54e+09,1.16e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",2256,Webb_et_al_2025,1234.397,,
Ni V,1234.5850,0.0020,3d5.(2D2).4s 3D J=3,3d5.(2D2).4p 3D* J=3,3.04e+09,9.91e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",3628,Webb_et_al_2025,1234.584,,
Fe V,1234.6480,0.0040,3d3.(4P).4s 3P J=2,3d3.(4P).4p 3S* J=1,2.1e+09,9.6e-02,NIST_ASD_v5.12;L3625;T6653c93,2338,Hu_et_al_2021,1234.6455,9.6e-02,8.47E+09
Ni V,1234.7030,0.0050,3d5.(2G1).4s 3G J=3,3d5.(2G1).4p 3G* J=4,2.50e+09,8.18e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1235.3110,0.0130,3d5.(4F).4s 5F J=2,3d5.(2F1).4p 3D* J=2,1.51e+08,6.92e-03,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1235.4360,0.0050,3d5.(2D1).4s 1D J=2,3d5.(2D1).4p 3P* J=2,1.02e+09,4.68e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1235.7700,0.0050,3d5.(2F1).4s 3F J=3,3d5.(2H).4p 3G* J=3,1.34e+09,4.38e-02,"NIST_ASD_v5.12;L3912c164,L21210;T6653c93",,,,,
Ni V,1235.8380,0.0020,3d5.(2I).4s 1I J=6,3d5.(4F).4p 5G* J=6,1.06e+10,1.87e-01,"NIST_ASD_v5.12;L21210,L3912;T6653c93",3429,Webb_et_al_2025,1235.838,,
Ni V,1236.2740,0.0060,3d5.(4F).4s 5F J=2,3d5.(2F1).4p 3D* J=1,1.74e+09,7.98e-02,"NIST_ASD_v5.12;L21210,L3912;T6653c93",2067,Webb_et_al_2025,1236.277,,
