species,wavelength_vac_ang,wavelength_unc_ang,lower_level,upper_level,Aki_s-1,fik,nist_source,q_cm-1,q_source,wl_match_ang,f_q,gamma_s-1
Fe V,1485.0170,0.0040,3d3.(2D1).4s 1D J=2,3d3.(2D1).4p 1D* J=2,2.7e+09,1.8e-01,NIST_ASD_v5.12;L3625;T6653c93,,,,,
Fe V,1485.4500,0.0040,3d3.(2G).4s 3G J=4,3d3.(2G).4p 3H* J=4,1.10e+09,4.0e-02,NIST_ASD_v5.12;L3625;T6653c93,1418,Hu_et_al_2021,1485.4533,4.0e-02,1.53E+09
Fe V,1485.9270,0.0040,3d3.(2G).4s 1G J=4,3d3.(2G).4p 3F* J=3,1.6e+08,5.9e-03,NIST_ASD_v5.12;L3625;T6653c93,3092,Hu_et_al_2021,1485.9263,5.9e-03,6.25E+09
Fe V,1489.2370,0.0040,3d3.(2D2).4s 3D J=3,3d3.(2D2).4p 3P* J=2,1.2e+09,5.9e-02,NIST_ASD_v5.12;L3625;T6653c93,2589,Hu_et_al_2021,1489.2434,5.9e-02,4.67E+09
Fe V,1494.6390,0.0040,3d3.(2G).4s 3G J=5,3d3.(2G).4p 3H* J=4,4.9e+07,1.5e-03,NIST_ASD_v5.12;L3625;T6653c93,1006,Hu_et_al_2021,1494.6412,1.5e-03,1.53E+09
Fe V,1495.6160,0.0040,3d3.(2H).4s 1H J=5,3d3.(2H).4p 3I* J=6,2.0e+08,5.9e-03,NIST_ASD_v5.12;L3625;T6653c93,2270,Hu_et_al_2021,1495.6150,5.9e-03,1.80E+09
Fe V,1495.6890,0.0160,3d4 3F2 J=4,3d4 1D1 J=2,1.4e+00,5.0e-11,NIST_ASD_v5.12;T9277,,,,,
Fe V,1496.2660,0.0040,3d3.(2G).4s 1G J=4,3d3.(2G).4p 3F* J=4,2.5e+09,9.5e-02,NIST_ASD_v5.12;L3625;T6653c93,2416,Hu_et_al_2021,1496.2648,9.5e-02,6.67E+09
Fe V,1499.2330,0.0040,3d3.(2P).4s 1P J=1,3d3.(2P).4p 3S* J=1,3.69e+07,4.1e-03,NIST_ASD_v5.12;L3625;T6653c93,1684,Hu_et_al_2021,1499.2326,4.1e-03,7.30E+09
Fe V,1500.5810,0.0040,3d3.(2D2).4s 3D J=1,3d3.(4P).4p 5S* J=2,9.0e+07,9.9e-03,NIST_ASD_v5.12;L3625;T6653c93,2706,Hu_et_al_2021,1500.5822,9.9e-03,1.35E+09
Fe V,1504.3290,0.0040,3d3.(2P).4s 1P J=1,3d3.(2D2).4p 1P* J=1,3.9e+08,4.3e-02,NIST_ASD_v5.12;L3625;T6653c93,1318,Hu_et_al_2021,1504.3315,4.3e-02,6.90E+09
Fe V,1504.8480,0.0040,3d3.(2D2).4s 3D J=1,3d3.(2P).4p 3P* J=0,3.0e+07,3.4e-03,NIST_ASD_v5.12;L3625;T6653c93,2514,Hu_et_al_2021,1504.8480,3.4e-03,5.18E+09
Fe V,1508.1530,0.0040,3d3.(2P).4s 3P J=2,3d3.(2G).4p 3F* J=3,2.2e+08,1.5e-02,NIST_ASD_v5.12;L3625;T6653c93,2801,Hu_et_al_2021,1508.1512,1.5e-02,6.25E+09
Fe V,1509.7920,0.0040,3d3.(2D2).4s 1D J=2,3d3.(4P).4p 3D* J=1,2.3e+08,1.6e-02,NIST_ASD_v5.12;L3625;T6653c93,2230,Hu_et_al_2021,1509.7897,1.6e-02,6.49E+09
Fe V,1511.4290,0.0040,3d3.(2D2).4s 3D J=1,3d3.(2P).4p 3P* J=1,2.1e+08,2.4e-02,NIST_ASD_v5.12;L3625;T6653c93,1912,Hu_et_al_2021,1511.4340,2.4e-02,5.38E+09
Fe V,1514.8340,0.0040,3d3.(2P).4s 3P J=2,3d3.(2G).4p 3F* J=2,1.6e+08,1.12e-02,NIST_ASD_v5.12;L3625;T6653c93,3085,Hu_et_al_2021,1514.8306,1.1e-02,5.92E+09
