line_id,species,lambda0_ang,q_cm1,lambda0_unc_ang,converged,flags,lambda_obs,sigma_lambda_obs,depth,width,depth_err,chi2_local,reduced_chi2_local,dof_local,n_components,best_k,delta_bic_vs_k1,asymmetry,snr,window_contam
line_0121,Ni V,1325.094,2439,0.008,True,,1325.279258446071,0.020123924871054664,0.022402200252710155,0.12655458543708148,0.0031283047137656544,186.90365837223564,1.8690365837223564,100.0,1.0,1.0,0.0,0.015016227778864967,7.161131124513702,0.0
line_0122,Fe V,1325.7838,2978,0.004,True,,1325.9993702165614,0.02334048296184263,0.5304370584234124,0.49999999999852507,0.14127450275262038,455.73177315323034,4.512195773794359,101.0,1.0,1.0,0.0,0.05693031176960195,3.754655285194934,0.0
line_0123,Fe V,1327.1006,3006,0.004,True,,1327.1577186091451,0.011922648512219934,0.04112818490374307,0.12222427224696697,0.0034694765940580696,191.33972504296435,1.9133972504296435,100.0,1.0,1.0,0.0,0.10928376869230619,11.854290925086637,0.0
line_0126,Fe V,1331.639,2311,0.004,True,,1331.814742024538,0.017415180020837563,0.4500874058743448,0.32734519587035077,0.07029536598839928,942.3626475220325,9.423626475220324,100.0,1.0,1.0,0.0,0.25919805695571374,6.402803364714282,0.0
line_0128,Ni V,1333.964,3464,0.002,True,BLEND_MODELED,1334.0217248696854,0.009551272604080983,0.46316498415214463,0.2764456212344937,0.18465942751268585,345.4612717877933,3.5251150182427886,98.0,2.0,2.0,91.34715598967438,0.22594649930382665,2.508211957498492,0.3333333333333333
line_0129,Fe V,1336.0377,3442,0.004,True,BLEND_MODELED,1336.2602040662834,0.018626009709547475,0.6901424632425256,0.20395431426365732,0.24997813543997222,798.9844766373931,8.322754964972845,96.0,3.0,3.0,14464.062787075036,0.001527496201864772,2.7608113086684374,0.6666666666666666
line_0131,Fe V,1337.2869,2724,0.004,True,,1337.0650261306298,0.005438996008390358,0.8500201820081128,0.4999999999999845,0.03126047448909642,405.39276447903916,4.053927644790392,100.0,1.0,1.0,0.0,0.7579448250420016,27.191531667396728,0.0
line_0132,Fe V,1338.8076,2389,0.004,True,BLEND_MODELED,1338.9527222397887,0.05803539686164059,0.43558787343248884,0.16711031181497707,0.123732192757678,1206.2402139104825,12.43546612278848,97.0,3.0,3.0,732.1557558775135,0.11302729338558042,3.5204085834440946,0.6666666666666666
line_0133,Ni V,1339.065,3308,0.01,True,BLEND_MODELED,1339.1360784766264,0.004889191552894535,0.5422441342033898,0.14542205007121664,0.013281795014757807,670.5835484812725,6.9852452966799214,96.0,3.0,3.0,3842.275288689889,0.03372576336145895,40.8261182770014,0.6666666666666666
line_0134,Fe V,1339.69,3128,0.004,True,,1339.9279138896634,0.008201110007754761,0.4739863136092175,0.2503115354555832,0.01551203124584323,641.7490166737824,6.3539506601364595,101.0,1.0,1.0,0.0,0.004697980161696135,30.55604427925788,0.0
line_0135,Ni V,1340.353,3092,0.002,True,,1340.4704175597751,0.010901365511448786,0.524250094268017,0.49999999999999994,0.1144982715013,137.10563894714582,1.3710563894714582,100.0,1.0,1.0,0.0,0.07304771943770452,4.578672563297733,0.0
line_0136,Ni V,1341.068,3093,0.002,True,,1341.1831726785529,0.016320269511221345,0.1627858662469653,0.2683674392050333,0.028639245844865366,144.91769447590977,1.4491769447590976,100.0,1.0,1.0,0.0,0.04008170763988237,5.68401371770586,0.0
line_0140,Fe V,1350.6724,3254,0.004,True,BLEND_RESOLVED,1350.886534293,0.016198626417850397,0.05140512037304696,0.06488997678095945,0.009158308125306231,323.56964241459235,3.370517108485337,96.0,3.0,3.0,2443.0719250539787,0.03012741568532262,5.612949430146859,0.6666666666666666
line_0141,Fe V,1350.9483,2998,0.004,True,BLEND_MODELED,1351.0483269221115,0.03927332331141299,0.2666232320299476,0.22805166502679552,0.07210048745412548,120.1441763359976,1.2259609830203837,98.0,2.0,2.0,5508.990222765553,0.045748190442881045,3.697939382165603,0.3333333333333333
line_0143,Fe V,1351.7563,3437,0.004,True,BLEND_MODELED,1351.8259059333736,0.013644523071318677,0.6877275917904828,0.27905985932994337,0.11577545780915281,299.3506841928202,3.1182362936752104,96.0,3.0,3.0,320.6525693042154,0.23131981863513315,5.940184602199115,0.6666666666666666
line_0144,Fe V,1355.6223,2385,0.004,True,,1355.8548259169381,0.01149323191149979,0.29232500569222836,0.25541116257888424,0.017657047712721217,181.12619495454754,1.8112619495454754,100.0,1.0,1.0,0.0,0.04604121588603496,16.555712509154038,0.0
line_0145,Fe V,1356.2369,3434,0.004,True,BLEND_MODELED,1356.1864737765409,0.013764573109626213,0.8279920884043012,0.49999999999999994,0.11023810948114286,164.20285269804305,1.6755393132453371,98.0,2.0,2.0,797.331922581503,0.04456539735177159,7.510942380102555,0.3333333333333333
line_0147,Fe V,1357.676,2170,0.004,True,BLEND_RESOLVED,1357.7817711649145,0.0023922282732162575,0.1752748463692526,0.030036087145581123,0.01138526314272263,281.20009370610495,2.8693887112867853,98.0,2.0,2.0,72.89950789663379,0.13143218285429079,15.394887599175686,0.3333333333333333
line_0148,Fe V,1357.8549,3657,0.004,True,BLEND_RESOLVED,1357.9212233282292,0.004807065786179931,0.07570543995260803,0.0342470135529558,0.008198083344662722,170.0555822693035,1.7714123153052448,96.0,3.0,3.0,129.43031670673872,0.09244482014883171,9.234529190520524,0.6666666666666666
line_0149,Fe V,1358.384,2416,0.004,True,BLEND_RESOLVED,1358.3858025941208,0.014831229376815296,0.0683136013076328,0.1068434643393842,0.007128501271695151,151.17675830041046,1.5270379626304087,99.0,2.0,2.0,7.003989600016126,0.0304390185584517,9.583164637829668,0.3333333333333333
line_0150,Fe V,1358.5646,3201,0.004,True,,1358.6322246911373,0.02183833366869987,0.11038272116390137,0.22867684465926322,0.020245938805016343,164.58582979397377,1.6458582979397378,100.0,1.0,1.0,0.0,0.23664795984342551,5.452092008524287,0.0
line_0151,Fe V,1359.006,3043,0.004,True,BLEND_RESOLVED,1359.1130948344073,0.002054321100539078,0.17689278026620733,0.017804590181146603,0.017334497342843837,351.8902580300569,3.5907169186740497,98.0,2.0,2.0,52.65370847492909,0.3547998492482379,10.204667419400748,0.3333333333333333
