line_id,species,lambda0_ang,q_cm1,lambda0_unc_ang,converged,flags,lambda_obs,sigma_lambda_obs,depth,width,depth_err,chi2_local,reduced_chi2_local,dof_local,n_components,best_k,delta_bic_vs_k1,asymmetry,snr,window_contam
line_0080,Fe V,1288.1681,2387,0.004,True,,1288.26842797337,0.0013281571440518307,0.09654287363207785,0.016631482496794407,0.0066245424539447964,149.72397828596573,1.559624773812143,96.0,1.0,3.0,431.7559785521555,0.07543685024648579,14.573515726295678,0.0
line_0083,Ni V,1290.397,2290,0.002,True,BLEND_RESOLVED,1290.250448111277,0.0038095779280452264,0.10099552845052956,0.06385415829335984,0.005081405594035758,153.7457635121485,1.5688343215525358,98.0,2.0,2.0,176.5839956943852,0.04551566081285514,19.87551014803304,0.3333333333333333
line_0085,Fe V,1293.127,2635,0.004,True,BLEND_MODELED,1293.1877310638088,0.011165804803843814,0.20714244938702236,0.12038606812559909,0.02090989888029316,448.653735557681,4.673476412059177,96.0,3.0,3.0,522.7658268086861,0.004550565102402964,9.906429991502579,0.6666666666666666
line_0086,Fe V,1293.3059,2665,0.004,True,BLEND_MODELED,1293.4440983607258,0.006004551113655007,0.10748099847068505,0.0799745152905758,0.011406592691160029,415.45688811614906,4.327675917876553,96.0,3.0,3.0,372.0258542774877,0.020805805970678378,9.42270854941472,0.6666666666666666
line_0088,Ni V,1298.732,3419,0.002,True,BLEND_RESOLVED,1298.8491232691135,0.005468446106868112,0.15044694633617922,0.08776045764278985,0.006422629851930734,235.4152575379897,2.452242266020726,96.0,3.0,3.0,95.35177795592614,0.1657400244870645,23.424508309622222,0.6666666666666666
line_0093,Fe V,1303.4853,2375,0.004,True,BLEND_RESOLVED,1303.6110497746997,0.0027815284839000447,0.1940843830624584,0.06990952337024946,0.00551250977395869,327.57768101012897,3.412267510522177,96.0,3.0,3.0,402.9961070952379,0.08610077550158422,35.20798892354269,0.6666666666666666
line_0101,Fe V,1311.2378,2389,0.004,True,BLEND_RESOLVED,1311.3476657840545,0.002476685557894021,0.07834113941658946,0.01919223695148855,0.00754681014794092,289.2769232502817,2.9822363221678527,97.0,3.0,3.0,328.0900731285462,0.02008220631253972,10.380695668879936,0.6666666666666666
line_0104,Ni V,1313.306,2056,0.002,True,BLEND_RESOLVED,1313.411416074536,0.0005585214271881682,0.15507023847805768,0.01605472427188701,0.004690679352593794,108.79687553934288,1.133300786868155,96.0,2.0,3.0,86.15382081550337,0.09747314954027705,33.059228060922315,0.3333333333333333
line_0105,Fe V,1313.5851,2507,0.004,True,BLEND_RESOLVED,1313.6987415542312,0.0024164375530300237,0.04253643398449962,0.015899553945823337,0.004797956952919215,168.5887409610083,1.7561327183438367,96.0,2.0,3.0,117.85743973564178,0.2643047050335585,8.865530558505581,0.3333333333333333
line_0112,Fe V,1320.4116,2419,0.004,True,BLEND_RESOLVED,1320.518060275856,0.0009975415077001116,0.2561656537576212,0.021032747005092348,0.009307925551669545,459.9310917152877,4.790948872034247,96.0,3.0,3.0,645.9947818226947,0.060904618526892586,27.52124008036068,0.6666666666666666
line_0114,Ni V,1320.901,2650,0.005,True,BLEND_RESOLVED,1321.0022719813464,0.00540190989942122,0.03764327833559141,0.020247039461249276,0.00745488759507358,334.235795053687,3.481622865142573,96.0,3.0,3.0,100.4242210942266,0.12186373876214142,5.049476314098586,0.6666666666666666
line_0123,Fe V,1327.1006,3006,0.004,True,,1327.1577186091451,0.011922648512219934,0.04112818490374307,0.12222427224696697,0.0034694765940580696,191.33972504296435,1.9133972504296435,100.0,1.0,1.0,0.0,0.10928376869230619,11.854290925086637,0.0
line_0131,Fe V,1337.2869,2724,0.004,True,,1337.0650261306298,0.005438996008390358,0.8500201820081128,0.4999999999999845,0.03126047448909642,405.39276447903916,4.053927644790392,100.0,1.0,1.0,0.0,0.7579448250420016,27.191531667396728,0.0
line_0136,Ni V,1341.068,3093,0.002,True,,1341.1831726785529,0.016320269511221345,0.1627858662469653,0.2683674392050333,0.028639245844865366,144.91769447590977,1.4491769447590976,100.0,1.0,1.0,0.0,0.04008170763988237,5.68401371770586,0.0
line_0140,Fe V,1350.6724,3254,0.004,True,BLEND_RESOLVED,1350.886534293,0.016198626417850397,0.05140512037304696,0.06488997678095945,0.009158308125306231,323.56964241459235,3.370517108485337,96.0,3.0,3.0,2443.0719250539787,0.03012741568532262,5.612949430146859,0.6666666666666666
line_0143,Fe V,1351.7563,3437,0.004,True,BLEND_MODELED,1351.8259059333736,0.013644523071318677,0.6877275917904828,0.27905985932994337,0.11577545780915281,299.3506841928202,3.1182362936752104,96.0,3.0,3.0,320.6525693042154,0.23131981863513315,5.940184602199115,0.6666666666666666
line_0144,Fe V,1355.6223,2385,0.004,True,,1355.8548259169381,0.01149323191149979,0.29232500569222836,0.25541116257888424,0.017657047712721217,181.12619495454754,1.8112619495454754,100.0,1.0,1.0,0.0,0.04604121588603496,16.555712509154038,0.0
line_0145,Fe V,1356.2369,3434,0.004,True,BLEND_MODELED,1356.1864737765409,0.013764573109626213,0.8279920884043012,0.49999999999999994,0.11023810948114286,164.20285269804305,1.6755393132453371,98.0,2.0,2.0,797.331922581503,0.04456539735177159,7.510942380102555,0.3333333333333333
line_0147,Fe V,1357.676,2170,0.004,True,BLEND_RESOLVED,1357.7817711649145,0.0023922282732162575,0.1752748463692526,0.030036087145581123,0.01138526314272263,281.20009370610495,2.8693887112867853,98.0,2.0,2.0,72.89950789663379,0.13143218285429079,15.394887599175686,0.3333333333333333
